factor_de_expansion;id_hog;zona;region_de_planificacion;tipo_de_vivienda;tipo_de_tenencia_de_la_vivienda;mensualidad_pagada_por_la_vivienda;material_de_las_paredes_exteriores_de_la_vivienda;material_del_techo_de_la_vivienda;material_del_piso_de_la_vivienda;la_vivienda_tiene_cielo_raso;condicion_de_hacinamiento_segun_aposentos;total_de_aposentos_de_la_vivienda;tipo_de_conexion_al_servicio_de_internet;tenenciaCompuP;tenenciaCompuE;tenenciaCompu;tenenciaTab;tenenciaCel;tenenciaDisMov;tenenciaTIC;cantidad_de_telefonos_celulares;cantidad_de_tabletas;cantidad_de_computadoras_portatiles;cantidad_de_computadoras_de_escritorio;nivel_de_pobreza;ingreso_total_del_hogar_neto;ingreso_per_capita_del_hogar_neto;quintil_de_ingreso_per_capita_del_hogar_neto;quintil_de_ingreso_per_capita_del_hogar_por_zona;quintil_de_ingreso_per_capita_del_hogar_neto_por_region_de_planificacion;jefe_sexo;jefe_edad;jefe_estado_conyugal;jefe_nivel_de_instruccion;jefe_tipo_de_centro_educativo_al_que_asiste_o_asistio;jefe_dominio_de_un_segundo_idioma;jefe_condicion_de_actividad;jefe_ocupacion_en_el_empleo_principal_cocr_2011;jefe_condicion_de_aseguramiento;jefe_recibio_ingreso_pension_alimenticia;jefe_asistencia_a_educacion_formal;jefe_estudiante;cantidad_personas;cantidad_hombres;cantidad_mujeres;estudiantes_preescolar;estudiantes_escuela;estudiantes_colegio;estudiantes_parauniversitaria;estudiantes_universitaria;estudiantes_enseñanza_especial;estudiantes_otro_formal;estudiantes_no_formal;estudiantes;estudiantes_con_beca;total_en_becas;estudiantes_centro_publico;estudiantes_centro_privado;personas_segundo_idioma;cantidad_ocupados;cantidad_desempleados;cantidad_fuera_de_ft;menores_de_15;mayores_de_64;pensionados
325;3_2_1;Urbana;Central;En fila o contigua;Alquilada;2.00E+05;Block o ladrillo;Lámina de metal o zinc;Cemento (lujado o no);Sí;Vivienda no hacinada;2;Por fibra óptica;No;No;No;No;Sí;Sí;Sí;3;0;0;0;No pobre;526,749,283,333,333;175,583,094,444,444;Q3: Más de 144395 a 240898;3;3;Hombre;37;Casado(a);Secundaria académica incompleta;Público;No;Ocupado;Operadores de instalaciones y máquinas y ensambladores;Asalariado;No;No asiste;No;3;2;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0
427;3_6_1;Urbana;Central;En fila o contigua;Alquilada;275000;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;4;Por cable coaxial;No;Sí;Sí;No;Sí;Sí;Sí;3;0;0;1;Pobreza no extrema;195000;65000;Q1: 87944 ó menos;1;1;Hombre;55;Casado(a);Primaria completa;Público;No;Ocupado;Oficiales, operarios y artesanos de artes mecánicas y de otros oficios;Por el Estado;No;No asiste;No;3;1;2;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;1;0;0
262;3_7_1;Urbana;Central;En fila o contigua;Propia totalmente pagada;NA;Madera;Lámina de metal o zinc;Mosaico, cerámica, terrazo;No;Vivienda no hacinada;5;NA;No;No;No;No;Sí;Sí;Sí;1;0;0;0;No pobre;541,666,666,666,667;270,833,333,333,333;Q4: Más de 240898 a 459848;3;3;Mujer;89;Soltero(a);Primaria completa;Público;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen de IVM de la CCSS;No;No asiste;No;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2
322;3_12_1;Urbana;Central;En fila o contigua;Propia totalmente pagada;NA;Madera;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;Por dispositivos móviles (SIM);Sí;No;Sí;No;Sí;Sí;Sí;1;0;1;0;Pobreza no extrema;399000;99750;Q2: Más de 87944 a 144395;2;2;Mujer;74;Soltero(a);Primaria incompleta;Público;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen no contributivo monto básico;No;No asiste;No;4;2;2;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;4;0;2;3
279;4_2_1;Urbana;Central;En fila o contigua;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Madera;Sí;Vivienda no hacinada;6;NA;No;No;No;No;Sí;Sí;Sí;1;0;0;0;No pobre;520,216,666,666,667;173,405,555,555,556;Q3: Más de 144395 a 240898;3;3;Mujer;67;Casado(a);Primaria completa;Público;No;Fuera de la fuerza de trabajo;NA;Familiar asegurado directo;No;No asiste;No;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;2;1
396;4_4_1;Urbana;Central;En fila o contigua;Alquilada;260000;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;No;Vivienda no hacinada;7;Por cable coaxial;No;No;No;No;Sí;Sí;Sí;5;0;0;0;No pobre;731310;146262;Q3: Más de 144395 a 240898;2;2;Mujer;63;Soltero(a);Primaria completa;Público;No;Ocupado;Ocupaciones elementales;Asalariado;No;No asiste;No;5;3;2;0;1;0;0;0;0;0;0;1;0;0;1;0;0;3;0;1;1;0;0
253;5_2_1;Urbana;Central;En fila o contigua;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;6;NA;No;No;No;No;No;No;No;0;0;0;0;No pobre;270,833,333,333,333;270,833,333,333,333;Q4: Más de 240898 a 459848;3;3;Mujer;88;Viudo(a);Secundaria académica incompleta;Público;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen de IVM de la CCSS;No;No asiste;No;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1
396;5_5_1;Urbana;Central;En fila o contigua;Alquilada;280000;Prefabricado;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;Por cable coaxial;Sí;No;Sí;No;Sí;Sí;Sí;4;0;1;0;No pobre;161,763,333,333,333;539,211,111,111,111;Q5: Más de 459848;5;5;Mujer;45;En unión libre o juntado(a);Educación superior de pregrado y grado;Público;Sí;Ocupado;Profesionales científicos e intelectuales;Asalariado;No;No asiste;No;3;1;2;0;0;0;0;1;0;0;0;1;0;0;1;0;2;2;0;1;0;0;0
283;5_6_1;Urbana;Central;Casa Independiente;Propia pagando a plazos;450000;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;9;Por fibra óptica;No;Sí;Sí;No;Sí;Sí;Sí;3;0;0;1;No pobre;649,857,013,333,333;216,619,004,444,444;Q5: Más de 459848;5;5;Mujer;71;Casado(a);Secundaria técnica completa;Privado;Sí;Fuera de la fuerza de trabajo;NA;Familiar de pensionado;No;No asiste;No;5;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;2;0;3;1
279;5_11_1;Urbana;Central;En fila o contigua;Alquilada;260000;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;6;Por dispositivos móviles (SIM);No;Sí;Sí;No;Sí;Sí;Sí;4;0;0;1;No pobre;137,887,966,666,667;229,813,277,777,778;Q3: Más de 144395 a 240898;3;3;Mujer;41;En unión libre o juntado(a);Primaria completa;Público;No;Fuera de la fuerza de trabajo;NA;Familiar asegurado directo;No;No asiste;No;6;3;3;0;2;0;0;0;0;0;0;2;0;0;2;0;0;3;0;1;2;0;0
271;5_12_1;Urbana;Central;En fila o contigua;Otra tenencia (cedida, prestada);NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;6;Por dispositivos móviles (SIM);No;Sí;Sí;Sí;Sí;Sí;Sí;4;1;0;1;No pobre;1567325;522,441,666,666,667;Q5: Más de 459848;5;4;Mujer;40;En unión libre o juntado(a);Educación superior de pregrado y grado;Público;No;Ocupado;Profesionales científicos e intelectuales;Asalariado;No;No asiste;No;3;1;2;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;1;0;0
264;6_1_1;Urbana;Central;En fila o contigua;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;6;Por teléfono fijo;Sí;Sí;Sí;Sí;Sí;Sí;Sí;5;2;3;1;No pobre;2067000;516750;Q5: Más de 459848;5;4;Hombre;63;Casado(a);Educación superior de posgrado;Público;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen del Magisterio, Poder Judicial, Hacienda, otro;No;No asiste;No;4;2;2;0;0;0;0;2;0;0;0;2;0;0;0;2;3;0;0;4;0;0;1
328;6_11_1;Urbana;Central;En fila o contigua;Alquilada;140000;Block o ladrillo;Lámina de metal o zinc;Madera;Sí;Vivienda no hacinada;4;NA;No;No;No;No;Sí;Sí;Sí;4;0;0;0;No pobre;686087,5;228,695,833,333,333;Q3: Más de 144395 a 240898;3;3;Hombre;60;Soltero(a);Primaria completa;Público;No;Fuera de la fuerza de trabajo;NA;No asegurado;No;No asiste;No;3;3;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;2;0;1;0;0;0
238;6_12_1;Urbana;Central;En fila o contigua;Propia pagando a plazos;2.00E+05;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;Por teléfono fijo;Sí;No;Sí;No;Sí;Sí;Sí;4;0;1;0;Pobreza no extrema;515000;103000;Q2: Más de 87944 a 144395;2;2;Hombre;64;Casado(a);Primaria completa;Público;No;Ocupado;Trabajadores de los servicios y vendedores de comercios y mercados;Pensionado del régimen de IVM de la CCSS;No;No asiste;No;5;3;2;0;2;0;0;0;0;0;0;2;0;0;2;0;0;2;0;1;2;0;1
318;7_3_1;Urbana;Central;En fila o contigua;Alquilada;3.00E+05;Madera;Lámina de metal o zinc;Madera;Sí;Vivienda no hacinada;3;NA;No;No;No;No;No;No;No;0;0;0;0;No pobre;975000;243750;Q4: Más de 240898 a 459848;3;3;Hombre;71;Casado(a);Secundaria académica incompleta;Público;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen de IVM de la CCSS;No;No asiste;No;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;2
273;7_6_1;Urbana;Central;En fila o contigua;Alquilada;175000;Fibrocemento (Fibrolit, Ricalit);Lámina de metal o zinc;Mosaico, cerámica, terrazo;No;Vivienda no hacinada;4;Por dispositivos móviles (SIM);No;No;No;No;Sí;Sí;Sí;3;0;0;0;Pobreza no extrema;265,833,333,333,333;886,111,111,111,111;Q2: Más de 87944 a 144395;1;1;Hombre;72;Casado(a);Primaria completa;Público;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen de IVM de la CCSS;No;No asiste;No;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2;1
272;8_1_1;Urbana;Central;Casa Independiente;Propia totalmente pagada;NA;Prefabricado;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;4;Por teléfono fijo;No;No;No;Sí;Sí;Sí;Sí;3;1;0;0;No pobre;657900;164475;Q3: Más de 144395 a 240898;3;2;Hombre;43;En unión libre o juntado(a);Primaria completa;Público;No;Ocupado;Operadores de instalaciones y máquinas y ensambladores;No asegurado;No;No asiste;No;4;1;3;0;1;0;0;0;0;0;1;2;0;0;2;0;0;1;0;1;2;0;0
334;8_4_1;Urbana;Central;En fila o contigua;Alquilada;135000;Zinc;Lámina de metal o zinc;Madera;Sí;Vivienda no hacinada;4;Por dispositivos móviles (SIM);No;No;No;No;Sí;Sí;Sí;5;0;0;0;No pobre;440,333,333,333,333;146,777,777,777,778;Q3: Más de 144395 a 240898;2;2;Mujer;47;Separado(a);Primaria incompleta;Público;No;Fuera de la fuerza de trabajo;NA;Por el Estado;Sí;Otro tipo de educación formal (educación abierta, IPEC, CINDEA, etc);Sí;3;2;1;0;0;2;0;0;0;1;0;3;2;122000;3;0;0;0;0;1;2;0;0
273;8_4_2;Urbana;Central;En fila o contigua;Alquilada;135000;Zinc;Lámina de metal o zinc;Madera;Sí;Vivienda no hacinada;4;Por dispositivos móviles (SIM);No;No;No;No;Sí;Sí;Sí;5;0;0;0;Pobreza extrema;0;0;Q1: 87944 ó menos;1;1;Hombre;23;Casado(a);Secundaria académica incompleta;Extranjero;No;Fuera de la fuerza de trabajo;NA;No asegurado;No;No asiste;No;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
316;8_8_1;Urbana;Central;Casa Independiente;Alquilada;130000;Madera;Lámina de metal o zinc;Cemento (lujado o no);No;Vivienda no hacinada;4;Por cable coaxial;Sí;No;Sí;No;Sí;Sí;Sí;3;0;1;0;No pobre;380280,5;126,760,166,666,667;Q2: Más de 87944 a 144395;2;2;Hombre;64;Casado(a);Primaria completa;Público;No;Ocupado;Operadores de instalaciones y máquinas y ensambladores;Pensionado del régimen de IVM de la CCSS;No;No asiste;No;3;2;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1
268;8_10_1;Urbana;Central;En fila o contigua;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;8;Por cable coaxial;Sí;Sí;Sí;Sí;Sí;Sí;Sí;3;1;1;1;Pobreza extrema;0;0;Q1: 87944 ó menos;1;1;Mujer;57;Soltero(a);Educación superior de pregrado y grado;Privado;No;Fuera de la fuerza de trabajo;NA;Voluntario;No;No asiste;No;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0
245;8_12_1;Urbana;Central;En fila o contigua;Propia totalmente pagada;NA;Madera;Lámina de metal o zinc;Cemento (lujado o no);Sí;Vivienda no hacinada;5;Por dispositivos móviles (SIM);Sí;No;Sí;No;Sí;Sí;Sí;1;0;1;0;No pobre;650000;216,666,666,666,667;Q3: Más de 144395 a 240898;3;3;Mujer;78;Divorciado(a);Secundaria académica completa;Público;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen de IVM de la CCSS;No;No asiste;No;3;2;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;2;1;1;1
334;9_3_1;Urbana;Central;En fila o contigua;Propia totalmente pagada;NA;Madera;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;9;Por cable coaxial;Sí;No;Sí;Sí;Sí;Sí;Sí;6;2;3;0;No pobre;357,495,666,666,667;714,991,333,333,333;Q5: Más de 459848;5;5;Hombre;53;Casado(a);Educación superior de pregrado y grado;Público;No;Ocupado;Directores y gerentes;Asalariado;No;No asiste;No;5;3;2;0;0;0;0;3;0;0;0;3;0;0;3;0;2;2;0;3;0;0;0
329;9_4_1;Urbana;Central;En fila o contigua;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;7;Por cable coaxial;Sí;Sí;Sí;Sí;Sí;Sí;Sí;4;1;1;1;No pobre;214,153,333,333,333;713,844,444,444,444;Q5: Más de 459848;5;5;Mujer;78;Viudo(a);Educación superior de pregrado y grado;Público;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen del Magisterio, Poder Judicial, Hacienda, otro;No;No asiste;No;3;2;1;0;0;0;0;1;0;0;0;1;0;0;0;1;2;1;0;2;0;1;1
411;9_5_1;Urbana;Central;En fila o contigua;Alquilada;190000;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;Por cable coaxial;Sí;No;Sí;No;Sí;Sí;Sí;5;0;1;0;No pobre;605,333,333,333,333;151,333,333,333,333;Q3: Más de 144395 a 240898;2;2;Hombre;46;En unión libre o juntado(a);Secundaria académica incompleta;Público;No;Ocupado;Trabajadores de los servicios y vendedores de comercios y mercados;Asalariado;No;No asiste;No;4;2;2;0;1;1;0;0;0;0;0;2;1;24000;2;0;0;1;0;2;1;0;0
159;9_9_1;Urbana;Central;En fila o contigua;Propia totalmente pagada;NA;Fibras naturales (bambú, caña, chonta);Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;4;Por cable coaxial;Sí;No;Sí;Sí;Sí;Sí;Sí;3;3;2;0;No pobre;1137500;379,166,666,666,667;Q4: Más de 240898 a 459848;4;4;Hombre;51;Casado(a);Secundaria académica completa;Público;No;Fuera de la fuerza de trabajo;NA;Familiar asegurado directo;No;No asiste;No;3;1;2;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0
239;9_10_1;Urbana;Central;Casa Independiente;Propia totalmente pagada;NA;Fibras naturales (bambú, caña, chonta);Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;6;Por cable coaxial;Sí;No;Sí;No;Sí;Sí;Sí;3;0;1;0;No pobre;663,866,666,666,667;331,933,333,333,333;Q4: Más de 240898 a 459848;4;4;Mujer;72;Divorciado(a);Secundaria académica completa;Público;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen de IVM de la CCSS;No;No asiste;No;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1
279;9_11_1;Urbana;Central;Casa Independiente;Propia totalmente pagada;NA;Block o ladrillo;Fibrocemento;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;NA;No;Sí;Sí;No;No;No;Sí;0;0;0;1;Pobreza no extrema;65000;65000;Q1: 87944 ó menos;1;1;Hombre;39;Separado(a);Secundaria académica completa;Público;Sí;Ocupado;Trabajadores de los servicios y vendedores de comercios y mercados;Voluntario;No;No asiste;No;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
253;9_12_1;Urbana;Central;En fila o contigua;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;6;Por cable coaxial;No;No;No;No;Sí;Sí;Sí;1;0;0;0;No pobre;628,333,333,333,333;314,166,666,666,667;Q4: Más de 240898 a 459848;4;4;Mujer;95;Divorciado(a);Educación superior de pregrado y grado;Público;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen del Magisterio, Poder Judicial, Hacienda, otro;No;No asiste;No;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2
394;10_1_1;Urbana;Central;En fila o contigua;Alquilada;185000;Zócalo (con madera, zinc o fibrocemento);Lámina de metal o zinc;Madera;Sí;Vivienda no hacinada;4;Por cable coaxial;Sí;No;Sí;Sí;No;Sí;Sí;0;1;1;0;No pobre;1313000;218,833,333,333,333;Q3: Más de 144395 a 240898;3;3;Hombre;39;Casado(a);Secundaria académica incompleta;Público;No;Ocupado;Oficiales, operarios y artesanos de artes mecánicas y de otros oficios;Seguro privado o del extranjero;No;No asiste;No;6;3;3;1;2;0;0;0;0;0;0;3;0;0;3;0;0;1;0;1;4;0;0
223;10_8_1;Urbana;Central;En fila o contigua;Propia totalmente pagada;NA;Zócalo (con madera, zinc o fibrocemento);Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;8;Por cable coaxial;Sí;No;Sí;Sí;Sí;Sí;Sí;8;2;3;0;No pobre;161,413,333,333,333;322,826,666,666,667;Q4: Más de 240898 a 459848;4;4;Mujer;77;Viudo(a);Secundaria académica incompleta;Público;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen del Magisterio, Poder Judicial, Hacienda, otro;No;No asiste;No;7;4;3;0;0;2;0;1;0;0;0;3;0;0;1;0;0;3;1;1;2;1;1
313;10_9_1;Urbana;Central;En fila o contigua;Propia pagando a plazos;80000;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;2;NA;No;No;No;No;Sí;Sí;Sí;1;0;0;0;No pobre;159,833,333,333,333;159,833,333,333,333;Q3: Más de 144395 a 240898;3;2;Hombre;67;Soltero(a);Primaria incompleta;Público;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen de IVM de la CCSS;No;No asiste;No;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1
